date,ticker,timing
2001-07-19,MSFT,AMC
2001-10-17,JPM,BMO
2001-10-18,MSFT,AMC
2002-01-16,AAPL,AMC
2002-01-16,JPM,BMO
2002-01-17,MSFT,AMC
2002-01-22,AMZN,BMO
2002-02-14,NVDA,AMC
2002-04-17,JPM,BMO
2002-04-17,AAPL,AMC
2002-04-18,MSFT,AMC
2002-04-23,AMZN,AMC
2002-05-22,NVDA,AMC
2002-07-16,AAPL,AMC
2002-07-17,JPM,BMO
2002-07-18,MSFT,AMC
2002-07-23,AMZN,AMC
2002-08-15,NVDA,AMC
2002-10-16,AAPL,AMC
2002-10-16,JPM,BMO
2002-10-17,MSFT,AMC
2002-10-24,AMZN,AMC
2002-11-07,NVDA,AMC
2003-01-15,AAPL,AMC
2003-01-16,MSFT,AMC
2003-01-22,JPM,BMO
2003-01-23,AMZN,AMC
2003-02-13,NVDA,AMC
2003-04-15,MSFT,AMC
2003-04-16,JPM,BMO
2003-04-16,AAPL,AMC
2003-04-24,AMZN,AMC
2003-05-08,NVDA,AMC
2003-07-16,AAPL,AMC
2003-07-16,JPM,BMO
2003-07-17,MSFT,AMC
2003-07-22,AMZN,AMC
2003-08-07,NVDA,AMC
2003-10-15,AAPL,AMC
2003-10-21,AMZN,AMC
2003-10-22,JPM,BMO
2003-10-23,MSFT,AMC
2003-11-06,NVDA,AMC
2004-01-14,AAPL,AMC
2004-01-21,JPM,BMO
2004-01-22,MSFT,AMC
2004-01-27,AMZN,AMC
2004-02-12,NVDA,AMC
2004-04-14,AAPL,AMC
2004-04-21,JPM,BMO
2004-04-22,AMZN,AMC
2004-04-22,MSFT,AMC
2004-05-06,NVDA,AMC
2004-07-14,AAPL,BMO
2004-07-21,JPM,BMO
2004-07-22,AMZN,AMC
2004-07-22,MSFT,AMC
2004-08-05,NVDA,AMC
2004-10-13,AAPL,AMC
2004-10-20,JPM,BMO
2004-10-21,MSFT,AMC
2004-10-21,AMZN,AMC
2004-11-04,NVDA,AMC
2005-01-12,AAPL,AMC
2005-01-19,JPM,BMO
2005-01-27,MSFT,AMC
2005-02-02,AMZN,AMC
2005-02-17,NVDA,AMC
2005-04-13,AAPL,AMC
2005-04-20,JPM,BMO
2005-04-26,AMZN,AMC
2005-04-28,MSFT,AMC
2005-05-12,NVDA,AMC
2005-07-13,AAPL,AMC
2005-07-20,JPM,BMO
2005-07-21,MSFT,AMC
2005-07-26,AMZN,AMC
2005-08-11,NVDA,AMC
2005-10-11,AAPL,AMC
2005-10-19,JPM,BMO
2005-10-25,AMZN,AMC
2005-10-27,MSFT,AMC
2005-11-09,NVDA,AMC
2006-01-18,AAPL,AMC
2006-01-18,JPM,BMO
2006-01-26,MSFT,AMC
2006-02-02,AMZN,AMC
2006-02-16,NVDA,AMC
2006-04-19,JPM,BMO
2006-04-19,AAPL,AMC
2006-04-25,AMZN,AMC
2006-04-27,MSFT,AMC
2006-05-11,NVDA,AMC
2006-07-19,JPM,BMO
2006-07-19,AAPL,AMC
2006-07-20,MSFT,AMC
2006-07-25,AMZN,AMC
2006-10-18,JPM,BMO
2006-10-18,AAPL,AMC
2006-10-24,AMZN,AMC
2006-10-26,MSFT,AMC
2006-11-09,NVDA,AMC
2007-01-17,JPM,BMO
2007-01-17,AAPL,AMC
2007-01-25,MSFT,AMC
2007-02-01,AMZN,AMC
2007-02-13,NVDA,AMC
2007-04-18,JPM,BMO
2007-04-24,AMZN,AMC
2007-04-25,AAPL,AMC
2007-04-26,MSFT,AMC
2007-05-10,NVDA,AMC
2007-07-18,JPM,BMO
2007-07-19,MSFT,AMC
2007-07-24,AMZN,AMC
2007-07-25,AAPL,AMC
2007-08-09,NVDA,AMC
2007-10-17,JPM,BMO
2007-10-22,AAPL,AMC
2007-10-23,AMZN,AMC
2007-10-25,MSFT,AMC
2007-11-08,NVDA,AMC
2008-01-16,JPM,BMO
2008-01-22,AAPL,AMC
2008-01-24,MSFT,AMC
2008-01-30,AMZN,AMC
2008-02-13,NVDA,AMC
2008-04-16,JPM,BMO
2008-04-23,AAPL,AMC
2008-04-23,AMZN,AMC
2008-04-24,MSFT,AMC
2008-05-08,NVDA,AMC
2008-07-17,MSFT,AMC
2008-07-17,JPM,BMO
2008-07-21,AAPL,AMC
2008-07-23,AMZN,AMC
2008-08-12,NVDA,AMC
2008-10-15,JPM,BMO
2008-10-21,AAPL,AMC
2008-10-22,AMZN,AMC
2008-10-23,MSFT,AMC
2008-11-06,NVDA,AMC
2009-01-15,JPM,BMO
2009-01-21,AAPL,AMC
2009-01-22,MSFT,BMO
2009-01-29,AMZN,AMC
2009-02-10,NVDA,AMC
2009-04-16,JPM,BMO
2009-04-22,AAPL,AMC
2009-04-23,AMZN,AMC
2009-04-23,MSFT,AMC
2009-05-07,NVDA,AMC
2009-07-16,JPM,BMO
2009-07-21,AAPL,AMC
2009-07-23,AMZN,AMC
2009-08-06,NVDA,AMC
2009-10-14,JPM,BMO
2009-10-22,AMZN,AMC
2009-11-05,NVDA,AMC
2009-12-03,AVGO,AMC
2010-01-15,JPM,BMO
2010-02-17,NVDA,AMC
2010-02-24,AVGO,AMC
2010-04-14,JPM,BMO
2010-04-18,AMZN,AMC
2010-04-19,MSFT,BMO
2010-04-19,AAPL,BMO
2010-04-20,AAPL,AMC
2010-04-22,AMZN,AMC
2010-04-22,MSFT,AMC
2010-05-05,GOOG,AMC
2010-05-07,BRK-B,AMC
2010-05-13,NVDA,AMC
2010-05-26,AVGO,AMC
2010-07-15,JPM,BMO
2010-07-15,GOOG,AMC
2010-07-20,AAPL,AMC
2010-07-22,MSFT,AMC
2010-07-22,AMZN,AMC
2010-08-06,BRK-B,AMC
2010-08-12,NVDA,AMC
2010-08-24,AVGO,AMC
2010-09-01,AVGO,AMC
2010-10-13,JPM,BMO
2010-10-14,GOOG,AMC
2010-10-18,AAPL,AMC
2010-10-21,AMZN,AMC
2010-10-28,MSFT,AMC
2010-11-05,BRK-B,AMC
2010-11-09,TSLA,AMC
2010-11-11,NVDA,AMC
2010-12-02,AVGO,AMC
2011-01-14,JPM,BMO
2011-01-18,AAPL,AMC
2011-01-20,GOOG,AMC
2011-01-27,AMZN,AMC
2011-01-27,MSFT,AMC
2011-02-15,TSLA,AMC
2011-02-16,NVDA,AMC
2011-02-23,AVGO,AMC
2011-02-26,BRK-B,BMO
2011-04-13,JPM,BMO
2011-04-14,GOOG,AMC
2011-04-20,AAPL,AMC
2011-04-26,AMZN,AMC
2011-04-28,MSFT,AMC
2011-05-04,TSLA,AMC
2011-05-06,BRK-B,AMC
2011-05-12,NVDA,AMC
2011-05-24,AVGO,AMC
2011-07-14,JPM,BMO
2011-07-14,GOOG,AMC
2011-07-19,AAPL,AMC
2011-07-21,MSFT,AMC
2011-07-26,AMZN,AMC
2011-08-03,TSLA,AMC
2011-08-05,BRK-B,AMC
2011-08-11,NVDA,AMC
2011-08-23,AVGO,AMC
2011-10-13,GOOG,AMC
2011-10-13,JPM,BMO
2011-10-18,AAPL,AMC
2011-10-20,MSFT,AMC
2011-10-25,AMZN,AMC
2011-11-02,TSLA,AMC
2011-11-04,BRK-B,AMC
2011-11-10,NVDA,AMC
2011-12-01,AVGO,AMC
2012-01-13,JPM,BMO
2012-01-19,MSFT,AMC
2012-01-19,GOOG,AMC
2012-01-24,AAPL,AMC
2012-01-31,AMZN,AMC
2012-02-15,NVDA,AMC
2012-02-15,TSLA,AMC
2012-02-22,AVGO,AMC
2012-02-26,BRK-B,BMO
2012-04-12,GOOG,AMC
2012-04-13,JPM,BMO
2012-04-19,MSFT,AMC
2012-04-24,AAPL,AMC
2012-04-26,AMZN,AMC
2012-05-04,BRK-B,AMC
2012-05-09,TSLA,AMC
2012-05-11,NVDA,BMO
2012-05-22,AVGO,AMC
2012-07-13,JPM,BMO
2012-07-19,MSFT,AMC
2012-07-19,GOOG,AMC
2012-07-24,AAPL,AMC
2012-07-25,TSLA,AMC
2012-07-26,AMZN,AMC
2012-07-26,META,AMC
2012-08-03,BRK-B,AMC
2012-08-09,NVDA,AMC
2012-08-16,AVGO,AMC
2012-10-12,JPM,BMO
2012-10-18,GOOG,AMC
2012-10-18,MSFT,AMC
2012-10-23,META,AMC
2012-10-25,AAPL,AMC
2012-10-25,AMZN,AMC
2012-11-02,BRK-B,AMC
2012-11-05,TSLA,BMO
2012-11-08,NVDA,AMC
2012-11-29,AVGO,AMC
2013-01-16,JPM,BMO
2013-01-22,GOOG,AMC
2013-01-23,AAPL,AMC
2013-01-24,MSFT,AMC
2013-01-29,AMZN,AMC
2013-01-30,META,AMC
2013-02-13,NVDA,AMC
2013-02-20,TSLA,AMC
2013-02-26,AVGO,AMC
2013-03-01,BRK-B,AMC
2013-04-12,JPM,BMO
2013-04-18,GOOG,AMC
2013-04-18,MSFT,AMC
2013-04-23,AAPL,AMC
